"label","mean position","mean position in standard space","label: area: total","label: mean curvature: median (weighted)","label: mean curvature: median absolute deviation (weighted)","label: mean curvature: mean (weighted)","label: mean curvature: standard deviation (weighted)","label: mean curvature: skew (weighted)","label: mean curvature: kurtosis (weighted)","label: mean curvature: lower quartile (weighted)","label: mean curvature: upper quartile (weighted)","label: travel depth: median (weighted)","label: travel depth: median absolute deviation (weighted)","label: travel depth: mean (weighted)","label: travel depth: standard deviation (weighted)","label: travel depth: skew (weighted)","label: travel depth: kurtosis (weighted)","label: travel depth: lower quartile (weighted)","label: travel depth: upper quartile (weighted)","label: geodesic depth: median (weighted)","label: geodesic depth: median absolute deviation (weighted)","label: geodesic depth: mean (weighted)","label: geodesic depth: standard deviation (weighted)","label: geodesic depth: skew (weighted)","label: geodesic depth: kurtosis (weighted)","label: geodesic depth: lower quartile (weighted)","label: geodesic depth: upper quartile (weighted)","label: convexity: median (weighted)","label: convexity: median absolute deviation (weighted)","label: convexity: mean (weighted)","label: convexity: standard deviation (weighted)","label: convexity: skew (weighted)","label: convexity: kurtosis (weighted)","label: convexity: lower quartile (weighted)","label: convexity: upper quartile (weighted)","label: thickness: median (weighted)","label: thickness: median absolute deviation (weighted)","label: thickness: mean (weighted)","label: thickness: standard deviation (weighted)","label: thickness: skew (weighted)","label: thickness: kurtosis (weighted)","label: thickness: lower quartile (weighted)","label: thickness: upper quartile (weighted)","label spectrum","label spectrum (normalized)"
"27","[-28.13853930929498, 61.73763870982407, 34.71707336179089]","[-23.763838780450172, 51.11928354448472, 8.764536621948599]","4737.7220664","-3.55895","1.98085","-3.43809915353","9.74728470592","-26.9702289226","226.382715666","-5.57373","-1.58634","3.48589","3.340178","4.72935616363","26.0565540274","-49.9377476181","1173.82587888","0.266879","7.82231","0.0963966","0.0916454","0.121924118113","0.0155778173681","-0.000863632178409","0.000422944366697","0.00608804","0.198043","-0.228917479515","0.334112919867","-0.188732364524","0.273029309183","-0.107192920759","0.163190184777","-0.553919136524","0.113092765212","2.69895505905","0.382960796356","2.70872747079","0.288207464607","0.0994769755721","0.221349774268","2.32457184792","3.09336423874","",""
"28","[-5.715668820178179, 48.45463394767248, 46.667296496398436]","[-3.639026553131779, 42.79289353187805, 24.68744335117451]","10721.2036931","-3.69246","1.87685","-3.56614771353","8.13534067327","-21.2696438736","160.214085091","-5.47753","-1.75049","1.02747","1.0039615","2.49848582083","10.7745760675","0.663763068138","245.212367885","0.0886906","4.3191825","0.0395211","0.038714556","0.0697941178864","0.00704952998578","-8.80247086024e-05","9.64186374051e-05","0.00202321","0.118624","-0.299818754196","0.354108154774","-0.300655268188","0.254261001001","-0.11791550624","0.156973126927","-0.654252111912","0.0536658726633","3.01899003983","0.378692150116","2.97466127149","0.295964513064","0.0796001743035","0.217316007175","2.59906196594","3.36495161057","",""
"29","[-26.59198147441103, -47.47053020994852, 33.24046486598882]","[-26.185428141625266, -47.304889334725246, 54.24289455936568]","4746.3645193","-2.88543","2.202295","-2.84982904891","9.82291878782","-25.0339784075","224.511022725","-5.12276","-0.722936","4.32862","3.84658","5.51843139672","27.8517154302","-0.658631258716","1589.62920468","0.8269135","8.93568","0.118371","0.093296","0.14342781917","0.0167607232207","-0.000171154211212","0.000566493913516","0.0311727","0.227932","-0.234627351165","0.357436850667","-0.198884319744","0.276344696751","-0.086696785768","0.171748691771","-0.574752271175","0.139930471778","2.2249994278","0.326838970184","2.24327314592","0.224517754694","0.05874649646","0.127451456755","1.92293143272","2.5860414505","",""
"30","[-47.89607920510709, 9.801314218057051, -0.8671685926851572]","[-43.819060397423904, -8.165946108808907, 1.3451078044130218]","6799.2654404","-4.27282","2.34126","-4.11856402776","12.1745781964","-37.1499101636","321.263100857","-6.68615","-2.04809","4.27509","4.138277","6.4745499834","55.5653562377","-69.7859814574","6124.62580859","0.496074","10.4892","0.121277","0.11692778","0.172021505476","0.0347050335126","-0.00145407369051","0.00233198189834","0.027783","0.274601","-0.444154590368","0.391778167337","-0.346999581463","0.466368176236","-0.204395932517","0.471681854456","-0.800727784634","-0.0039935852401","3.04860496521","0.453815937042","3.09681263664","0.471487710162","0.293117431056","0.661067331584","2.61798906326","3.52432632446","",""
"31","[-49.63638465881697, -19.596858183789198, 24.604414823315317]","[-46.355923340602295, -24.61052802323483, 34.796282995778235]","4449.2216809","-3.0299","2.282261","-3.07690236656","10.5759810825","-34.1220052471","261.7530457","-5.46866","-0.885559","5.73149","5.049158","7.35327187528","50.5792813259","54.3957796163","6184.79934544","1.14773","11.7271","0.156484","0.1272749","0.196089738715","0.0333224140575","0.00121885050041","0.00284553437624","0.0437153","0.306034","-0.231184408069","0.38098795712","-0.183645856015","0.348687002457","-0.147096637141","0.288076199056","-0.587748646736","0.18226210773","2.62794780731","0.368975162506","2.5991062037","0.279307252455","0.055819571273","0.19631846242","2.24443817139","2.98030185699","",""
"34","[-36.833591670263964, -5.067105769735223, 8.698006280570178]","[-34.16926910170301, -18.307632261199352, 15.7678839505761]","431.2612187","-2.22618","0.98317","-1.8659007377","3.49659080785","0.493961130214","39.7896093647","-3.11353","-1.0496125","23.7063","4.7545","23.7824001443","34.9745568932","-165.509410307","2526.70625843","19.0935","28.4999","0.597922","0.115599","0.602896282198","0.0220997113381","-0.00245889666508","0.00101953969188","0.488149","0.720897","0.26255106926","0.245256520808","0.40269112304","0.257070335589","-0.0383755288636","0.11908004278","0.0539132393897","0.64896941185","2.44579410553","0.224505662918","2.420605847","0.0938154023093","-0.00478934933843","0.0250040996001","2.22353839874","2.67277890444","",""
"35","[-34.31764953876142, 22.46433861206714, 6.711392435331099]","[-30.90414405352816, 5.464263596128734, 2.4209213367248137]","2110.936361","-1.45799","1.610708","-1.47432301887","5.87939723779","-12.2369118879","90.4324285723","-3.19446","0.064682675","18.9825","3.6787","19.1785019983","32.0040697985","-99.8926725228","2639.51213619","15.236575","22.5911","0.782285","0.131478","0.702793968977","0.0504206177264","-0.00831693346621","0.00583200172546","0.51869","0.880365","0.236995175481","0.333000972867","0.278665449301","0.230631910936","-0.0835244743608","0.120926161398","-0.075661547482","0.611053407192","3.17178797722","0.552608728409","3.29443553017","0.79640821453","0.584117750054","1.77693837383","2.68964552879","3.83006334305","",""
